|id|acousticness|danceability|duration_ms|energy|instrumentalness|key|liveness|loudness|mode|speechiness|tempo|valence
Días Felices|1WCujjpVcPacQ40RCNtXUg|0.2|0.605|260650|0.88|0.108|9|0.165|-3.377|0|0.0268|99.997|0.853
Recuerdos|4NHGTE6SN0a10VTPDLmMe3|0.298|0.622|276193|0.888|0.00065|8|0.323|-3.731|1|0.0274|97.987|0.818
Perdóname|0o1o2q5ZUXGlwwQelzUPuY|0.656|0.696|206315|0.909|6.22e-05|2|0.0324|-2.653|1|0.0301|104.014|0.948
Cien Millones de Locos|47M8kyBjxPG7oCVX3q4Q8n|0.557|0.206|233920|0.447|0.0|1|0.351|-8.521|0|0.0376|76.868|0.319
Ay... ¡quien Pudiera!|2dGzGxFSHGpyh3IJY9kKgw|0.422|0.363|175173|0.248|1.33e-06|2|0.144|-10.453|1|0.0309|113.118|0.509
Luciana|4A8kzdASCacyPrzThRvnSO|0.591|0.265|199600|0.41|0.0|11|0.257|-9.807|0|0.0361|82.916|0.542
Opening / Como Se Llama - En Vivo Desde Arena CDMX|2505MtSxho11hHtX1R1RSu|0.193|0.577|292000|0.64|7.09e-05|5|0.984|-10.116|0|0.0396|146.311|0.26
Hazme Olvidarlo - En Vivo Desde Arena CDMX|0n7sVTcGzLBGEs7HeI09xc|0.437|0.509|276000|0.557|1.06e-06|2|0.976|-9.635|1|0.0351|136.037|0.162
Aquí Estoy Yo - En Vivo Desde Arena CDMX|2PU2FGhzIWXwn3DloS9DaA|0.533|0.383|183750|0.652|1.51e-05|6|0.726|-9.961|1|0.069|167.859|0.334
Empezar de Cero|33tJDE3EGR00pq6r4IPOsG|0.335|0.498|247559|0.873|0.0|1|0.0902|-4.564|1|0.0431|175.041|0.833
A Ti Querida Mamá|2t2TFlvAySFjaGS9sFRTt0|0.35|0.448|333299|0.655|0.0|9|0.373|-4.936|1|0.0373|146.385|0.278
Sin Darnos Cuenta|3ZozQBWRPdL9usxG04geIG|0.27|0.586|235104|0.879|0.0|6|0.0902|-5.088|0|0.0291|99.009|0.75
No Te Pido Flores|16IxZnHASJFRQRRhPFlQOS|0.472|0.724|245373|0.838|0.0|1|0.0507|-5.734|1|0.0873|103.969|0.857
Tú No Eres Para Mi|0UJyn2Nj0o3bOeBrcm4Za4|0.0389|0.85|209373|0.929|0.0|5|0.197|-3.741|1|0.033|125.018|0.933
Fanfarrón|3ei7Cjigs41LVCRgL4I74m|0.0753|0.8|201987|0.88|0.0|9|0.144|-3.64|1|0.0427|115.036|0.952
Nuestro Secreto|64OLJ5J4yh1Fhy00DjQhuw|0.518|0.672|159107|0.457|3.68e-06|8|0.107|-11.517|0|0.0744|151.039|0.881
Déjalos|2Ovxs4W5CIMcOIPLJq89ge|0.775|0.806|167400|0.431|1.04e-06|9|0.0747|-13.511|0|0.0629|144.699|0.932
Dijiste Adiós|25sK8EBGQfqDkGYAHTEfpk|0.803|0.757|192333|0.245|0.00122|8|0.128|-15.978|0|0.14|147.408|0.848
Pa Que Sepa|4ssX6WT1BA6deuNEIqe8C3|0.127|0.773|195907|0.924|0.0|7|0.352|-4.249|1|0.149|105.0|0.925
Ajena|31lyiFyEpwoIQb5l49I9LG|0.0379|0.8|197973|0.848|0.0|4|0.0573|-5.194|0|0.289|81.96|0.657
Mira|5GsFBBAXrZ1PsoEUifRkBH|0.0272|0.753|214907|0.876|0.0|0|0.0859|-4.231|1|0.264|159.026|0.9
Animal|3wcnIjQh7PWy7jtcxRlo0l|0.0909|0.597|228120|0.741|0.0|2|0.0875|-6.762|1|0.0346|122.022|0.341
Pisando En Falso|4JBZoyHVWe7CU0QTw3AyDs|0.224|0.557|226640|0.621|0.0|0|0.1|-6.239|1|0.0317|131.959|0.337
Amando De Más|5KiOv6wQ9LqXQohD42YZR2|0.313|0.406|197653|0.565|0.0|8|0.149|-5.354|1|0.0353|121.887|0.378
El Día Que Me Quieras|70sslygNitKM1K5YrSAj9Z|0.867|0.32|184633|0.305|1.91e-06|8|0.0656|-6.489|1|0.0287|78.772|0.224
Majestade o Sabiá|3zZIe5CgN1AaULnCDN310u|0.881|0.562|211766|0.438|3.3e-05|7|0.165|-6.751|1|0.0448|116.74|0.684
Caminito|4IUUiDlcV5gTjWiQq2ZNIj|0.925|0.509|159521|0.338|2.37e-05|6|0.139|-7.267|1|0.0416|113.188|0.567
Te La Tiro Plena|1TVW1v5R9kWRURDFH5FTmf|0.109|0.815|188246|0.85|5.36e-06|9|0.218|-5.983|1|0.0781|106.971|0.914
Amigos Con Derecho|1A7t9RRHhO6OpzDY5Fq208|0.131|0.615|252125|0.794|0.0|7|0.0469|-5.165|1|0.0999|91.799|0.732
Te La Voy Poner Difícil|42st2qVHR9YL3LsZOxbZS6|0.074|0.726|229727|0.753|0.0|7|0.0845|-4.899|1|0.135|156.059|0.787
Me Vas a Extrañar|53ZsIwmRCpuHcRg6qK3GPi|0.0643|0.573|179082|0.487|0.0|6|0.113|-11.044|0|0.129|195.882|0.905
Bajo el cielo azul de Marte|3uGEd3peltuV0SEympCowM|0.906|0.6|274780|0.227|0.259|7|0.121|-14.25|0|0.0322|105.049|0.178
Algo tiene que estar mal|3UfGgch0cUOi3TtTI7DGej|0.651|0.69|259800|0.546|0.000953|9|0.235|-5.866|0|0.0816|73.983|0.812
Siempre Siempre|4gHiMn8cdyfGzehAaRpfMI|0.787|0.751|199097|0.319|0.00552|11|0.29|-10.634|0|0.0401|121.916|0.559
Cuando Me Enamoro|5AFfuSkX2kSvZf57uWQflO|0.935|0.687|244000|0.385|0.00158|10|0.108|-11.715|1|0.0332|125.933|0.775
El Día|5HOYxT6GW7j9J9KfUlaRwh|0.855|0.536|214013|0.351|7.95e-05|5|0.0746|-10.705|1|0.0308|169.855|0.453
Nomás Contigo|5k2DkrLxKo4NyU7Piw40oM|0.868|0.677|219987|0.405|0.000665|9|0.0826|-8.996|1|0.0265|83.995|0.564
Vine solita|2awRM5ndShRtSjR1EEyPk8|0.9|0.431|386213|0.0832|1.28e-05|9|0.221|-12.799|1|0.0389|78.826|0.121
De todas las flores|3MAHwAmag1U1gLLuvEQNHU|0.898|0.56|322013|0.366|0.00151|10|0.0966|-12.569|0|0.193|148.036|0.336
Pasan los días|0U1tYg60QpzEStW7DhwdHO|0.919|0.532|403307|0.18|1.85e-06|6|0.109|-12.364|0|0.0471|111.889|0.204
Se Siente Bien|6892RHazJd2gcvkWBE6IuZ|0.334|0.757|191933|0.774|1.45e-06|6|0.0852|-6.498|0|0.0432|122.068|0.726
Mala Pa Mi|0vofZf1IK7jgKiC4Hshlop|0.025|0.7|190079|0.552|3.99e-06|0|0.0403|-9.218|1|0.0596|90.919|0.886
La Playa|4eZg9Nmjf9kjsawOv5NyU1|0.288|0.715|176455|0.771|0.00213|0|0.107|-5.2|1|0.0421|140.085|0.909
Palmeras|5P5LFgrzrj8TxUGO6sskof|0.912|0.425|182021|0.387|0.00769|9|0.386|-10.203|0|0.0337|117.568|0.474
Sueño Guajiro|6O5ZNBlcjsUiAaRHAavzKi|0.797|0.512|155611|0.398|2.15e-06|7|0.207|-9.8|0|0.0333|119.93|0.708
Señora Tentación|3AXaRCVklL28x27MOHvdTq|0.893|0.564|199210|0.339|0.000643|5|0.123|-11.508|1|0.0352|113.679|0.708
Royal Rumble (Se Van)|6vbBeine7SvXpvLOcQUEWF|0.247|0.826|376027|0.82|0.0|11|0.106|-4.99|0|0.242|93.994|0.764
Lento|2LDky5d1Xn8Y0ExCqaGUDs|0.128|0.7|196800|0.855|0.000804|9|0.176|-4.977|0|0.0431|81.985|0.822
Hello|6A2u0AuWXFVsEyi7rgDFEf|0.244|0.756|206160|0.86|0.000475|9|0.0839|-3.239|0|0.0437|93.984|0.793
Obsesión|5Dor1ZjCnBYmC136ytDzJp|0.199|0.762|191864|0.858|0.0048|9|0.117|-4.116|0|0.0891|99.997|0.653
Disciplina|5VmevlHJrUiQZ29JzpfZB5|0.122|0.936|157625|0.523|0.000194|4|0.0845|-6.108|1|0.0407|119.987|0.801
Cómprame un Brishito|1OXvHS29qz48nwoBclCl6k|0.21|0.841|144996|0.745|6.02e-06|5|0.0761|-4.144|0|0.0611|99.941|0.35
Te Alejas (En Vivo)|2AhdH4i22VySG5Xs3mDhHg|0.482|0.421|513788|0.916|2.37e-05|0|0.17|-2.373|1|0.0576|111.14|0.887
Confidencias (En Vivo)|7G49MdN8LWhjPKtUpirMTY|0.337|0.589|613901|0.485|0.0|9|0.182|-12.167|0|0.0337|108.728|0.76
Pedazo de Luna|1XMYQnyfxRJpSrFIWAaLzX|0.33|0.511|374178|0.863|0.000125|7|0.95|-6.254|0|0.0533|105.689|0.925
La Segunda de Ojitos Mentirosos (Se Hace Pedacitos)|3ktOtv7xsCU4bPwqRsRTLY|0.252|0.771|181290|0.636|2.35e-06|0|0.0548|-5.635|1|0.0555|177.937|0.969
Bórrala|2A96hPdNPRwWMdduYldyMA|0.248|0.77|187733|0.776|0.0|4|0.0832|-6.199|0|0.076|83.888|0.961
Cuando Era Niño|5paYwOXqEZd1hvI6YPaD3w|0.322|0.781|236983|0.7|9.33e-06|0|0.127|-6.444|1|0.0732|84.012|0.962
A Llorar a Otra Parte - En Vivo|7dD4mmJWYNPAaf2WBjz0uZ|0.285|0.614|264306|0.785|0.0|7|0.357|-6.247|1|0.0855|92.406|0.513
Tú Lloras por Él - En Vivo|7ugzbwmusuq3RqgFyBFM25|0.117|0.636|225517|0.744|0.00057|5|0.341|-6.327|0|0.034|135.972|0.686
Largate / Tributo a Lisandro Meza - En Vivo|0Swo40BY6U6SUuqhzDw3an|0.274|0.443|674132|0.904|1.43e-05|0|0.857|-5.351|1|0.0659|180.739|0.578
Echame a Mi la Culpa|421rO8lpytabGLwI5BSEDH|0.734|0.27|244440|0.0447|7.21e-05|0|0.0492|-5.64|1|0.0526|189.875|0.15
Sabes de Qué Tengo Ganas|4cXfV5kHdjExOaqMhkrfNt|0.584|0.431|178253|0.388|5.06e-05|4|0.0871|-6.397|1|0.0398|90.924|0.332
Un Mundo Raro|56X7bViCgXKZhHkHUte2vN|0.821|0.309|169813|0.494|2.26e-06|9|0.347|-4.878|1|0.0468|91.683|0.265
Cocoband|5J4zNEuX5b5jKg6fnt13Dg|0.339|0.553|202720|0.949|0.000138|4|0.0733|-3.442|0|0.0537|150.85|0.965
El Mujerón|3o332rYEJWwJKyN9FLo7sG|0.698|0.631|211920|0.722|0.0333|0|0.0589|-12.321|1|0.06|82.035|0.913
La Negra Pola|2vnqVpIe7WPRHtN11nlGU3|0.506|0.705|285747|0.825|0.0|3|0.0914|-6.539|1|0.0496|149.61|0.975
Piensa en Mi (Intro) - En Vivo|5f8KTECUPdTO5GPuB3BOIi|0.553|0.505|402500|0.799|0.000289|2|0.0672|-6.308|1|0.0504|107.466|0.562
Dejame un Beso - En Vivo|1aIPP79pddKGlQFihJeKdX|0.646|0.708|234000|0.757|0.00106|5|0.282|-7.436|0|0.0369|95.938|0.778
Somos 3 - En Vivo|260Xv5KgHhJEXDHaOqctlz|0.441|0.751|226250|0.888|0.0|6|0.0975|-6.509|1|0.0659|97.116|0.968
Un Muchacho Como Yo (En Vivo Estadio Luna Park)|7v3pT2V1rGhwxufBRe8lfc|0.27|0.449|154095|0.955|0.0|7|0.97|-6.209|0|0.438|166.923|0.554
Viva la Vida (En Vivo Estadio Luna Park)|456VnpO27s6DrzsxR1E1Rt|0.0158|0.422|130763|0.964|0.0|10|0.883|-5.902|1|0.19|164.753|0.653
Corazón Contento (En Vivo Estadio Luna Park)|6e82kGhdwdbGZ7kYIAiwbs|0.0439|0.41|147427|0.951|0.0|7|0.973|-5.906|1|0.0648|154.88|0.855
Borracho de Amor|43uBjIHOz4wBNeUrePvlm4|0.416|0.743|163760|0.586|0.00741|3|0.129|-8.621|1|0.0526|105.976|0.946
Regresa|22InZ4whPnnp3F0pEMrj63|0.379|0.547|177107|0.601|0.00934|2|0.306|-9.009|1|0.0561|205.742|0.967
Ya No Estas Conmigo|2ZsrGa4O5jdmmWPVnDYduw|0.189|0.697|189267|0.624|0.000618|0|0.337|-8.864|0|0.0441|104.612|0.943
Recuerdos de una Noche|0az7gdZQPf1H09WaCjBHKi|0.0189|0.597|179000|0.552|0.498|0|0.101|-9.026|1|0.0272|81.712|0.546
Baby|6EJ5aLnEvfJpEMsCvnGoRu|0.18|0.579|228387|0.676|0.000657|5|0.1|-5.389|1|0.0301|112.474|0.655
El Reloj|0kRqzJmX5uKbgEzpsF1whf|0.00425|0.439|208000|0.594|0.0191|7|0.0852|-9.04|1|0.0601|171.1|0.406
Abertura - Ao Vivo|0pzmdJRdA7JIfhvmx30osh|0.193|0.43|47512|0.585|0.726|0|0.739|-7.125|1|0.032|134.209|0.416
Vontade Dividida - Ao Vivo|3pFouThtwQxN1feK7h3qI7|0.577|0.668|308627|0.488|0.0|7|0.663|-6.367|1|0.0408|112.067|0.503
Solidão - Ao Vivo|3bqFAVVwzphTJnN3xQXmLz|0.698|0.572|253413|0.477|1.22e-06|9|0.561|-7.346|1|0.0282|82.964|0.363
Amor de Pobre|4XOky4yChHKBkMafviFhZC|0.781|0.542|261387|0.88|0.000608|6|0.414|-5.349|0|0.0405|110.584|0.899
Dime Gitana|4UQbcCbDMGeMPFe6tFnRBa|0.775|0.556|302835|0.838|0.000287|2|0.388|-5.387|0|0.0473|110.013|0.827
Si Me Ibas a Dejar|0Rla0pDeMX6wKvpQeaoywl|0.711|0.524|287231|0.842|0.000801|4|0.762|-5.257|0|0.0394|110.31|0.863
Ximena C|0tGCMFmrtzx3kcw17OfUnH|0.898|0.459|95227|0.148|0.00423|1|0.0731|-21.837|1|0.0656|80.728|0.12
Nostalgia|6wUL2nTU9fIgAz28x3vJCH|0.545|0.685|175470|0.585|0.000254|0|0.0851|-8.806|1|0.0316|115.029|0.335
TBT 4 EVER|6Ih48tUMCa5M1TbbukEKIp|0.337|0.756|166871|0.687|2.03e-06|7|0.0891|-4.567|1|0.168|82.997|0.303
Lejos del Cielo - Vivo - Mezclado y Masterizado 2017|1dcfWIDCwj6GcSqW62ya2t|0.71|0.448|61388|0.673|0.0|4|0.535|-4.329|1|0.0465|95.373|0.717
Si Me Cansé - Vivo - Mezclado y Masterizado 2017|1MkMCB35xzj2cbwFmV56jq|0.00994|0.468|225023|0.96|2.84e-05|10|0.319|-4.189|0|0.0984|78.817|0.646
Armar de Nuevo - Vivo - Mezclado y Masterizado 2017|5HrVsQZRyjb6j4VvnztKqt|0.179|0.52|300260|0.888|4.34e-05|7|0.383|-4.713|1|0.0428|95.299|0.661
Dónde Brilla El Sol|2UYmBA9LEwOSrsADNVaWOQ|0.114|0.781|203867|0.303|0.00167|4|0.11|-13.385|0|0.0348|106.702|0.756
No Voy En Tren|0RihvEozI122KYvRNpKi3e|0.0617|0.713|170155|0.873|0.0|7|0.0742|-3.49|1|0.0462|123.481|0.961
El Gato Y Yo|3ymtORMXc8xykrjbp9qO4T|0.107|0.8|220480|0.797|0.000111|9|0.1|-4.934|0|0.0338|125.943|0.962
Muévete Bien|1DKHWLTNoAmWEf73IAbj5F|0.433|0.472|239733|0.83|1.38e-06|5|0.0702|-7.635|1|0.178|189.01|0.783
Se Derrite Como Vela|10ggRyfv34lqMPWVuKEU35|0.226|0.793|239667|0.823|0.000109|6|0.281|-10.982|1|0.0613|142.963|0.952
La Juventud|6mILlUJCKHltd8w8BV34Cc|0.103|0.802|264933|0.726|9.56e-06|5|0.17|-11.026|1|0.122|101.452|0.872
Llegó La Navidad|7HdWvII8qjHF01ZzwuuC7w|0.419|0.565|138587|0.794|5.53e-06|1|0.198|-6.191|1|0.11|126.068|0.72
Santa Claus Llegó A La Ciudad|2PnfKHHLnJLRF42JLMoDko|0.129|0.581|190547|0.556|2.1e-06|3|0.158|-8.722|1|0.0279|105.925|0.346
Un Año Más|1c6eKZ4JkbA2011JjQ8gFO|0.17|0.443|268493|0.634|1.54e-06|3|0.126|-8.017|1|0.0377|191.975|0.468
Tú No Cambiarás (En Vivo)|0UVOvMHPRwQFEefQfKL0kd|0.343|0.653|210500|0.785|0.0|7|0.112|-5.08|1|0.0365|106.54|0.517
Homenaje a Jhonny (En Vivo)|1O1M8lWnq98LnJSzAspFhT|0.32|0.455|410883|0.809|0.0|7|0.0946|-4.99|1|0.0469|110.053|0.543
Mil Amores (En Vivo)|5qDly7Z9dh0O3SBpypQauU|0.369|0.564|243000|0.782|0.0|7|0.556|-5.312|1|0.0341|104.944|0.62
Mother|69ZzhvHnSSnzMO8SMYEJWb|0.124|0.751|147481|0.661|0.0|9|0.456|-6.131|1|0.0871|120.052|0.761
Don't I Make It Look Easy|7eUlgmPmSCWjU1BwIQXX8s|0.0588|0.629|154888|0.733|0.0|0|0.25|-4.506|1|0.0659|148.751|0.827
Made You Look|0xQudiMRqpzDGnpmtIIDO8|0.34|0.835|134256|0.519|1.64e-06|10|0.0768|-3.574|1|0.0707|145.029|0.854
Popular|3uEx77R6b16SAltboKfQjh|0.183|0.671|270907|0.748|0.162|7|0.0911|-6.478|1|0.0269|131.981|0.708
Karmadame|1xO5aVaGg8ksIuH1TL9Ba3|0.123|0.556|284467|0.782|0.187|2|0.284|-6.169|1|0.0312|94.029|0.305
Velur|6Bpw7j4WL3IwdM1xLPcH7Q|0.00416|0.529|247547|0.807|0.00487|0|0.131|-5.942|1|0.0277|145.003|0.474
Nova York / Além do Horizonte|1rMWrG86IgfdhCe0bRlKul|0.0186|0.551|199659|0.956|0.0|7|0.35|-4.326|1|0.0668|148.747|0.776
Disco Arranhado / Tudo Que Vai|7sfP7fsYMSSJKmU4hWnBZX|0.253|0.691|178379|0.751|0.0|0|0.0599|-5.265|1|0.0518|122.113|0.737
Ciumento Demais / Ciúme|2MaU5bEFo2wnm5msYB9S3u|0.0455|0.403|204707|0.837|0.0|7|0.108|-5.001|1|0.0483|144.877|0.663
Te encontraré|27gu7MjUHDdnYSjpk9NPkv|0.853|0.641|233547|0.271|3.53e-05|9|0.134|-11.374|0|0.0314|74.853|0.191
Aquellas pequeñas cosas|5LR2Yu54lp4IcHEOvL3h6h|0.955|0.454|133320|0.166|0.000132|5|0.115|-14.159|1|0.0399|86.481|0.222
Cariño mio|5bUXcEC41Ei63tIrvkEDMG|0.647|0.792|181213|0.52|1.18e-06|9|0.326|-5.136|0|0.0271|109.009|0.699
Malícia de Mulher - Ao Vivo|4Fkymcd4RyQ8N2n2Sq8gCF|0.0563|0.498|230769|0.916|0.0|5|0.882|-4.232|1|0.0964|129.916|0.492
Fogo de Amor - Ao Vivo|5a8xuawN8By63oekVJCDpv|0.257|0.687|172826|0.962|0.0|10|0.964|-4.322|1|0.0644|137.994|0.875
O Cheiro Dela - Ao Vivo|6v5Af6GeDpea4ttLMKixTW|0.351|0.475|203839|0.826|0.0|3|0.988|-4.955|1|0.0723|79.026|0.606
Niña Bonita|53vO6ulYi1Iq0N7vFFzW6d|0.355|0.725|182845|0.834|0.0|9|0.0733|-6.425|1|0.0395|132.021|0.936
Voy a Olvidarme de Mi|6BngzedjupIauJcs8rBz6V|0.231|0.699|230362|0.84|0.0|9|0.198|-6.091|1|0.0383|93.965|0.888
Eso Duele|3fZOqeLyPguTrzTclfpzOm|0.348|0.766|232060|0.751|1.59e-06|1|0.099|-4.416|0|0.0589|147.01|0.852
No Pasa Nada|0Xm0eqEfGv7IsY4wWmNJJ5|0.0445|0.682|170597|0.924|0.0|7|0.11|-5.233|1|0.0734|164.216|0.817
No|1313MIBXplgGAbmgb7xrgx|0.00147|0.688|182915|0.928|4.57e-06|11|0.587|-6.068|0|0.0757|169.987|0.905
La Foto de la Verdad|1CsRJBwUMnVoR7LR53mlnO|0.00241|0.634|164136|0.89|0.0|10|0.338|-4.753|0|0.0382|90.015|0.881
Cosita Linda|47qH3r0toJ1pHLw1rsu1cJ|0.102|0.752|213141|0.936|3.77e-06|4|0.216|-4.224|1|0.12|103.96|0.828
Me Quedo Solito|3CtLpR6OJJTQAWhx3J2qEv|0.0466|0.759|220640|0.931|0.0|11|0.352|-4.634|0|0.0728|112.039|0.626
¿Que Pasó?|5jY4E6MtvBfClvYu8XhkpF|0.0911|0.739|194733|0.902|0.0|2|0.241|-5.216|0|0.0706|123.021|0.861
El Parrandero|05KuFSkMZr5hslDDN5mwNX|0.319|0.716|229813|0.834|0.0|2|0.1|-6.905|1|0.0564|99.945|0.963
Quisiera Ser Aire|4LTa3r4tqOLoVF5HqxkQ7a|0.127|0.669|225933|0.746|0.0|9|0.199|-7.628|1|0.0414|100.001|0.775
Solo Por Tenerte|2Cd8caznMa9SEOmWF0ZZH6|0.244|0.633|221707|0.884|0.0|7|0.184|-6.869|1|0.0547|99.983|0.692
La Jarra Loca|5pv0g4YajPj4RN98CT0T24|0.137|0.456|238933|0.862|0.0|10|0.0506|-5.537|1|0.114|79.869|0.9
Entregadora Del Marrón|2mH1fsg2qgXzgOpNIot2Lv|0.043|0.578|238427|0.618|7.33e-06|5|0.0462|-4.457|0|0.0622|79.871|0.758
Patovicagón|7h4DOjE3inh9NC5mnW6jQc|0.0615|0.617|247040|0.679|3.51e-05|2|0.271|-4.435|0|0.033|83.966|0.839
Chavo Sonidero|4DAaRwE8qcq643An3uVOtM|0.073|0.663|125923|0.866|0.0|4|0.158|-5.427|0|0.0596|81.991|0.848
La Nube|1J8Ha2ryCY5cWTxwB2qMxi|0.0617|0.805|186062|0.779|0.0|1|0.285|-3.796|0|0.0339|108.022|0.781
Historia|2uBKDzlkGbMWfY4e1zzo7c|0.106|0.77|171725|0.701|0.000122|9|0.0717|-5.245|1|0.204|171.991|0.881
Daria - En Vivo|5glAkD10qX51HAjQOBF2xS|0.11|0.579|219733|0.77|1.74e-06|5|0.778|-6.639|1|0.0314|137.454|0.681
Esperaré Despierta (Versión Acústica) - En Vivo|13Q5IrZ9XSBc9lzeBhy8Q2|0.0894|0.579|240360|0.63|0.0|9|0.927|-5.963|1|0.027|117.699|0.478
Rompe el Mar (Versión Acústica) - En Vivo|08FhMeoxmCwo7Dn9v09Jv7|0.53|0.512|211600|0.574|0.0|11|0.335|-9.34|0|0.195|89.44|0.673
Chinchorro|2KvHqfSVeasgQtvU45nFep|0.714|0.632|26467|0.374|0.00747|11|0.114|-11.924|0|0.231|121.375|0.634
No More Mr. Nice Guy|5du2eHGqz8N8tLxIqefk01|0.223|0.845|92720|0.506|0.394|6|0.108|-4.28|1|0.0555|150.049|0.366
Mamey|2SgzwREwlCLCMIrQsFqQdp|0.0933|0.791|182640|0.892|0.0238|1|0.245|-3.835|1|0.16|142.053|0.709
Me Marcharé - Reggae En Vivo|1lvfuxasSSQexS7zW5ol7H|0.112|0.654|349960|0.802|0.0|5|0.52|-6.958|1|0.0498|90.103|0.774
Todos Tenemos un Amor - Reggae En Vivo|65vY1GXJ44orMvuPKf2uWO|0.107|0.636|234592|0.721|0.0|1|0.826|-6.528|0|0.0906|142.947|0.949
Perdóname - Reggae En Vivo|6hhP7svIrw95DpnUibWiL9|0.112|0.656|291412|0.88|0.0|2|0.315|-5.494|1|0.0522|89.995|0.781
Mix 90S (1,2,3/ Carrapicho/ La Macarena/ El Meneíto/ El Baile de la Botella / Cachete, Pechito y Ombligo / Sopa de Caracol)|2L3ckYuPPYtJN8hDPlSWXu|0.175|0.547|481640|0.908|0.0|11|0.221|-5.103|1|0.0935|108.856|0.736
Mix Juan Luis Guerra (Me Enamoro de Ella/ La Bilirubina/ A Pedir Su Mano)|6eQ9OEXt28EB85b2TX5wjk|0.194|0.531|502840|0.855|2.87e-06|9|0.0767|-4.784|1|0.0599|138.924|0.92
Mix Urbano (Mayores/ Dura / Mentirosa)|4XLzJXu3ILNv5nhlyTMmXm|0.367|0.693|417800|0.87|0.0|6|0.11|-5.138|1|0.0944|105.95|0.726
Vamos Fazer Festa - Ao Vivo|4QWuArHWIWxxNuwGN3uy3t|0.335|0.778|218450|0.966|0.0|9|0.229|-4.07|1|0.0627|112.997|0.731
Não Deixo Não - Ao Vivo|6C1EV5rhLm69RHOYEdTS4x|0.128|0.655|173490|0.919|0.0|0|0.9|-4.46|1|0.0521|104.986|0.629
Fuscão Preto - Ao Vivo|4PlyRV16Diic4YCh2AD1VM|0.0993|0.702|198734|0.908|1.79e-06|9|0.116|-4.677|1|0.0509|106.99|0.796
Dale que te Vienen Dando|5x23AJvpHYANaV6PDoNwOj|0.043|0.798|192967|0.846|0.000576|7|0.0559|-6.055|1|0.0354|125.046|0.898
Basura|6ZkDQMg2H9cntU1KXlHlrq|0.119|0.742|157936|0.797|0.0|5|0.211|-5.243|0|0.0313|100.967|0.495
El Mudo|74DEo5qrANjYENDD8jyCbu|0.0776|0.79|218070|0.804|1.2e-06|10|0.0506|-6.737|0|0.0799|118.047|0.754
Alegria y Amor|0S163ydBzj3blG9icHmP0a|0.575|0.781|247844|0.558|0.0|0|0.0637|-5.086|0|0.0452|99.211|0.966
La Computadora|4Rpip6LnCTHqCWGiSconGk|0.811|0.679|175998|0.639|0.0|2|0.129|-5.304|1|0.0413|142.452|0.968
El Africano|4elaoCJKWRpvrvxF5jJ3HB|0.861|0.666|245645|0.577|0.0034|7|0.128|-5.94|1|0.0433|125.34|0.965
La Pena|3bkO7wxR9GOOTuIfwPbHcY|0.096|0.778|212645|0.798|0.0|2|0.0684|-7.477|0|0.0412|110.033|0.798
Espérame en el Tren|4Q72mdWXL7HUFkbnvE3r6s|0.198|0.605|246217|0.851|0.0|9|0.16|-6.831|1|0.0735|124.942|0.651
Alguien|6wl1FWjnroEtgqLqDXHvEa|0.0767|0.506|262339|0.701|6.28e-05|11|0.118|-7.632|1|0.0325|168.022|0.655
Cool Love 1|4fBSXIqfkG5S1y9vuWdXkz|0.744|0.294|59681|0.269|0.959|9|0.0708|-20.387|0|0.0435|145.863|0.0616
Antes de Dormir (feat. Betsayda Machado)|4rr7U9TuDRiENnbU61EUvP|0.000928|0.558|254752|0.884|4.07e-05|9|0.695|-6.458|0|0.03|104.984|0.478
Mal Pensada|7dIpJUehJgYdYQ8dYXz6mn|0.0358|0.771|186878|0.743|0.000248|4|0.553|-8.752|0|0.0791|116.033|0.452
Zun Da Da|6DxS2ZRl8G3EagHkovYXA2|0.266|0.782|304091|0.767|3.64e-05|9|0.0947|-7.981|0|0.0871|88.005|0.622
Habre La Puerta|3pvBJ1blQ2UZVXWsjZKHTV|0.419|0.767|228598|0.618|3.53e-06|0|0.269|-8.362|0|0.057|94.004|0.711
The Way She Moves|1ylFJOaF7wAgHTeUskuJTT|0.234|0.701|233509|0.829|0.0|10|0.071|-4.055|0|0.0467|95.001|0.562
Voy a Ser - Versión Banda|0bpBuTCBZ0ZQgcD5EBefj1|0.701|0.639|240379|0.446|3.48e-05|1|0.0598|-3.159|1|0.0527|164.968|0.965
Y Tú No Estás - Versión Banda|5gYX8QO5OITX28r3PbYChR|0.145|0.526|160203|0.484|0.0|2|0.116|-3.174|1|0.0288|148.006|0.434
No Siempre Se Gana - Versión Banda|0DYNnaPNYTzoBxELtNkLRA|0.531|0.616|149570|0.498|0.0|10|0.0357|-3.743|1|0.0683|175.049|0.923
Desire (Me Tienes Loquita)|2IFiGJAIGDdoBZJRk23QLu|0.181|0.583|190320|0.898|0.0|7|0.0595|-3.322|1|0.139|195.884|0.837
Suave Y Sutil|0AAMsV0USb3lQt6ORovfDX|0.374|0.694|210600|0.824|0.0|8|0.105|-3.909|0|0.0289|137.969|0.909
Me Quema|1w8d2maLhnVb9jKZeaDn7D|0.0612|0.747|196547|0.783|0.0|9|0.0821|-3.842|1|0.108|92.031|0.663
Arco-Íris de Amor|6yxJFwPqRLu38u5zKOctGd|0.635|0.734|208872|0.756|3.15e-05|3|0.186|-6.636|1|0.0313|94.014|0.922
